,FIPS,MHI_2018,giniIndex
842,19105,56012,0.4308
843,19107,51043,0.4387
844,19109,54146,0.4098
845,19111,48571,0.425
846,19113,64862,0.4308
847,19115,53943,0.4218
848,19117,50206,0.4578
849,19119,64352,0.3765
850,19121,64512,0.4349
851,19123,52950,0.4465
852,19125,58492,0.4038
853,19127,54027,0.4024
854,19129,69177,0.4151
855,19131,55553,0.4127
856,19133,45252,0.4618
857,19135,49549,0.4075
858,19137,47648,0.4644
859,19139,57348,0.4153
860,19141,53045,0.4233
861,19143,58125,0.4015
862,19145,49974,0.4244
863,19147,52462,0.4059
864,19149,64296,0.3995
865,19151,49877,0.4037
866,19153,66044,0.4437
867,19155,57467,0.4259
868,19157,53520,0.452
869,19159,52005,0.4713
870,19161,54958,0.4152
871,19163,58803,0.4516
872,19165,55489,0.4305
873,19167,67178,0.3844
874,19169,54554,0.4643
875,19171,55898,0.3982
876,19173,48717,0.4379
877,19175,47518,0.4312
878,19177,47083,0.4639
879,19179,45233,0.4409
880,19181,74383,0.4044
881,19183,61769,0.3906
882,19185,45017,0.4475
883,19187,44261,0.4431
884,19189,51002,0.3871
885,19191,62820,0.4005
886,19193,55483,0.4363
887,19195,54329,0.4119
888,19197,50198,0.4314
889,20001,42679,0.4337
890,20003,46274,0.4181
891,20005,48667,0.45
892,20007,50613,0.4706
893,20009,50198,0.4445
894,20011,40733,0.4628
895,20013,48547,0.4271
896,20015,63272,0.411
897,20017,46295,0.436
898,20019,38690,0.4662
899,20021,41103,0.4057
900,20023,46833,0.4289
901,20025,50368,0.3962
902,20027,56186,0.4855
903,20029,44143,0.434
904,20031,58636,0.4156
905,20033,56912,0.4109
906,20035,48087,0.4256
907,20037,40174,0.4652
908,20039,44104,0.4392
909,20041,48167,0.4447
910,20043,49338,0.4301
911,20045,55832,0.4714
912,20047,49293,0.3987
913,20049,38494,0.4297
914,20051,52700,0.4855
915,20053,48188,0.4168
916,20055,56573,0.4041
917,20057,53072,0.423
918,20059,55486,0.4014
919,20061,49185,0.3761
920,20063,48894,0.4226
921,20065,40769,0.4176
922,20067,55455,0.4092
923,20069,64426,0.3873
924,20071,51250,0.35
925,20073,42595,0.466
926,20075,45000,0.3759
927,20077,49455,0.4356
928,20079,56051,0.4011
929,20081,53527,0.4437
930,20083,53854,0.4001
931,20085,55904,0.4057
932,20087,61793,0.3655
933,20089,42552,0.4943
934,20091,84915,0.4522
935,20093,51314,0.4557
936,20095,58483,0.4398
937,20097,51336,0.4042
938,20099,47668,0.4113
939,20101,51719,0.4313
940,20103,71184,0.4242
941,20105,46196,0.4166
942,20107,43699,0.4509
943,20109,51597,0.4468
944,20111,44191,0.475
945,20113,57765,0.4152
946,20115,51262,0.4183
947,20117,50234,0.4143
948,20119,55568,0.4174
949,20121,69150,0.4164
950,20123,45221,0.4336
951,20125,45173,0.442
952,20127,50352,0.4229
953,20129,43925,0.4175
954,20131,58644,0.4369
955,20133,44294,0.4513
956,20135,51033,0.471
957,20137,49891,0.4647
958,20139,55036,0.412
959,20141,48355,0.4543
960,20143,51971,0.4134
961,20145,42853,0.3939
962,20147,48272,0.402
963,20149,64657,0.3944
964,20151,54029,0.4197
965,20153,48125,0.4132
966,20155,49174,0.433
967,20157,48022,0.4314
968,20159,50764,0.4036
969,20161,49910,0.4754
970,20163,50511,0.3985
971,20165,40598,0.4307
972,20167,52806,0.3837
973,20169,50515,0.4377
974,20171,71394,0.3426
975,20173,54974,0.4554
976,20175,47025,0.4103
977,20177,55199,0.4436
978,20179,56071,0.418
979,20181,52847,0.3563
980,20183,43438,0.465
981,20185,48563,0.424
982,20187,46726,0.4236
983,20189,56507,0.434
984,20191,54915,0.4219
985,20193,57478,0.4449
986,20195,56810,0.3655
987,20197,60450,0.3779
988,20199,58875,0.4177
989,20201,48889,0.4277
990,20203,57566,0.402
991,20205,46208,0.4692
992,20207,34621,0.4356
993,20209,44873,0.4273
994,21001,39346,0.4696
995,21003,40893,0.4379
996,21005,54160,0.4073
997,21007,44350,0.4617
998,21009,40216,0.4345
999,21011,40837,0.4579
1000,21013,24628,0.4975
1001,21015,75043,0.4115
1002,21017,51462,0.4526
1003,21019,46165,0.4855
1004,21021,43274,0.4731
1005,21023,45827,0.4433
1006,21025,26376,0.5253
1007,21027,48189,0.425
1008,21029,60534,0.3863
1009,21031,40061,0.4487
1010,21033,44940,0.5086
1011,21035,40219,0.4863
1012,21037,59782,0.4587
